id,title,description,requirements,conditions,locations,country,postedDate,employeeId,createdAt,key_skills,companyId,companyName,salary_from,salary_to,salary_currency,salary_gross,vacancy_url,job_text
117266895,IT Project Manager,"Управляет дорожной картой Проектов/задач по Трайбам и Направлениям Компании. Отвечает за процесс согласования приоритетов, классификацию портфеля проектов со...","Высшее образование (ИТ-технологии/Телекоммуникации/Управление проектами). Опыт работы не менее 5 лет в соответствующем направлении (Project management, IT, Telecommunications...",Полная занятость,Алматы,Kazakhstan,2025-02-14T13:45:41+0300,60607,2025-02-14T13:45:41+0300,Основы управления проектами,60607,Kcell,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/117266895,"Высшее образование (ИТ-технологии/Телекоммуникации/Управление проектами). Опыт работы не менее 5 лет в соответствующем направлении (Project management, IT, Telecommunications... Основы управления проектами"
104980663,Junior DevOps Engineer,Создание и администрирование инфраструктуры проектного решения в сотрудничестве с разработчиками и системными администраторами. Разработка и поддержка CI/CD. ,"Опыт в системном администрировании или DevOps. Опыт работы OS Linux. Понимание DevOps lifecycle, основных концепций (СI/CD, CM, IaC). ",Полная занятость,Алматы,Kazakhstan,2025-02-11T14:41:26+0300,2728850,2025-02-11T14:41:26+0300,"концепций, администрировании, Linux, Понимание, lifecycle, IaC, DevOps, или, работы, основных, Опыт, системном",2728850,МФО ОнлайнКазФинанс (ТМ Solva),300000.0,400000.0,KZT,False,https://hh.ru/vacancy/104980663,"Опыт в системном администрировании или DevOps. Опыт работы OS Linux. Понимание DevOps lifecycle, основных концепций (СI/CD, CM, IaC).  концепций, администрировании, Linux, Понимание, lifecycle, IaC, DevOps, или, работы, основных, Опыт, системном"
117243231,Data Engineer,Создание и оптимизация функциональности DWH. Интеграция источников данных в единое хранилище. Разработка и поддержка процессов ETL/ELT с использованием Python...,"Уровень владения английским языком - (C1) - Продвинутый. Практический опыт работы с SQL, умение оптимизировать SQL-запросы. Большой опыт работы с...",Полная занятость,Алматы,Kazakhstan,2025-02-14T08:40:24+0300,963723,2025-02-14T08:40:24+0300,"Python, SQL, Визуализация данных, Анализ требований, NoSQL, Data Mining",963723,Учреждение SDU University,580000.0,400000.0,KZT,True,https://hh.ru/vacancy/117243231,"Уровень владения английским языком - (C1) - Продвинутый. Практический опыт работы с SQL, умение оптимизировать SQL-запросы. Большой опыт работы с... Python, SQL, Визуализация данных, Анализ требований, NoSQL, Data Mining"
117120658,Бизнес-аналитик (онлайн-обучающая платформа) в компанию MindWave,"Анализ требований и разработка концепции онлайн-обучающей платформы. Описание ключевых бизнес-процессов платформы, включая создание курсов, взаимодействие пользователей, систему оценивания...","Опыт работы бизнес-аналитиком или продуктовым аналитиком. Понимание онлайн-образования, e-learning платформ и технологий. Опыт написания бизнес-документации и...",Частичная занятость,Алматы,Kazakhstan,2025-02-12T07:46:37+0300,6116334,2025-02-12T07:46:37+0300,"ChatGPT, EdTech, SQL, BPMN, UML",6116334,2дэй академи,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/117120658,"Опыт работы бизнес-аналитиком или продуктовым аналитиком. Понимание онлайн-образования, e-learning платформ и технологий. Опыт написания бизнес-документации и... ChatGPT, EdTech, SQL, BPMN, UML"
117102098,Middle Data Engineer,,"Опыт работы в области разработки хранилищ больших данных не менее 2 лет. Знание концепций данных и аналитики (например, моделирование, ETL...",Полная занятость,Алматы,Kazakhstan,2025-02-11T15:13:11+0300,737295,2025-02-11T15:13:11+0300,"концепций, моделирование, например, больших, Знание, аналитики, разработки, хранилищ, ETL, данных, лет, менее, работы, Опыт, области",737295,Prime Source,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/117102098,"Опыт работы в области разработки хранилищ больших данных не менее 2 лет. Знание концепций данных и аналитики (например, моделирование, ETL... концепций, моделирование, например, больших, Знание, аналитики, разработки, хранилищ, ETL, данных, лет, менее, работы, Опыт, области"
117005328,Инженер-программист pl/sql,"Проектирование, разработка и настройка функционала систем IBSO. Проектирование и разработка функционала. Разработка и отладка программного кода на PL+ и PL...",Опыт работы в качестве программиста в финансовой сфере. Понимание структуры бизнеса банка и банковских процессов. Желательно знание основ банковского бухгалтерского...,Полная занятость,Алматы,Kazakhstan,2025-02-10T07:59:47+0300,2203060,2025-02-10T07:59:47+0300,"Oracle Pl/SQL, SQL, ЦФТ-банк, IBSO",2203060,Ibsotech,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/117005328,"Опыт работы в качестве программиста в финансовой сфере. Понимание структуры бизнеса банка и банковских процессов. Желательно знание основ банковского бухгалтерского... Oracle Pl/SQL, SQL, ЦФТ-банк, IBSO"
117034606,"Бизнес-аналитик в Управление ""Центр обмена идентификационными данными""","Участие в проектах по внедрению и развитию информационных систем. Сбор и анализ требований (as-is/to-be), проведение интервью с...","Владение нотациями описания процессов (UML/BPMN) и использования их в работе. Понимание принципов интеграции: HTTP, REST, SOAP. Понимание принципов работы...",Полная занятость,Алматы,Kazakhstan,2025-02-10T13:50:47+0300,139069,2025-02-10T13:50:47+0300,"описания, REST, нотациями, работе, HTTP, SOAP, Понимание, BPMN, работы, интеграции, использования, процессов, принципов, Владение, UML",139069,НПК НБ РК,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/117034606,"Владение нотациями описания процессов (UML/BPMN) и использования их в работе. Понимание принципов интеграции: HTTP, REST, SOAP. Понимание принципов работы... описания, REST, нотациями, работе, HTTP, SOAP, Понимание, BPMN, работы, интеграции, использования, процессов, принципов, Владение, UML"
117251424,Аналитик в отдел Бизнес-аналитики,Разработка и настройка ETL-процессов. Создание схемы загрузки информации в базу данных. Автоматизация процессов сбора информации с перемещением в единую...,Опыт работы с ETL процессами и инструментами. Знание SQL. Знание Excel и 1С. Знание инструментов и технологий для работы...,Полная занятость,Алматы,Kazakhstan,2025-02-14T10:57:41+0300,3628184,2025-02-14T10:57:41+0300,"SQL, MS SQL, Cистемы управления базами данных, ETL, Базы данных, Сбор и анализ информации, Работа с базами данных, MS Power Builder",3628184,"EUROPHARMA, ТМ (ТОО AK NIET GROUP)",300000.0,350000.0,KZT,False,https://hh.ru/vacancy/117251424,"Опыт работы с ETL процессами и инструментами. Знание SQL. Знание Excel и 1С. Знание инструментов и технологий для работы... SQL, MS SQL, Cистемы управления базами данных, ETL, Базы данных, Сбор и анализ информации, Работа с базами данных, MS Power Builder"
117020080,DevOps Engineer,"Разрабатывать/развивать шаблонизированные pipeline с учетом лучших практик. Разрабатывать/развивать/сопровождать базовые helm чартов для применения командами (Kafka, Rabbit, Postgres...","Опыт работы на должности DevOps Engineer не менее 1 года. Опыт работы с Kubernetes (RKE\Openshift). Базовые знания Terraform, Ansible...",Полная занятость,Алматы,Kazakhstan,2025-02-10T10:50:38+0300,123401,2025-02-10T10:50:38+0300,"Docker, Gitlab, MongoDB, Kubernetes, PostgreSQL",123401,Банк ЦентрКредит,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/117020080,"Опыт работы на должности DevOps Engineer не менее 1 года. Опыт работы с Kubernetes (RKE\Openshift). Базовые знания Terraform, Ansible... Docker, Gitlab, MongoDB, Kubernetes, PostgreSQL"
117212127,Бизнес-аналитик/Консультант 1С,Участие в предпроектном обследовании предприятия-заказчика.  Сбор и анализ бизнес-требований заказчика.  Участие в проектировании системных решений под требования заказчика.  ,"Опыт ведения переговоров с заказчиками. Требования:  Умение правильно понимать предметную область, анализировать бизнес-процессы и требования заказчика.  Опыт согласования требований...",Полная занятость,Алматы,Kazakhstan,2025-02-13T13:45:46+0300,5818502,2025-02-13T13:45:46+0300,"Постановка задач разработчикам, Разработка бизнес-требований, Анализ требований, Сбор требований, Написание инструкций, Описание бизнес-процессов, 1С, 1С: Предприятие, 1С: Управление предприятием, 1C: ERP, 1C: Зарплата и кадры, 1С: Производство, Консультирование пользователей, Администрирование баз данных, Моделирование бизнес-процессов, Системное мышление, Внутренний аудит информационных систем, Разработка регламентов и процедур, Разработка функциональных требований, Анализ бизнес-процессов, Документирование бизнес-требований, Разработка технических заданий",5818502,SMARTCO SOLUTIONS,500000.0,400000.0,KZT,False,https://hh.ru/vacancy/117212127,"Опыт ведения переговоров с заказчиками. Требования:  Умение правильно понимать предметную область, анализировать бизнес-процессы и требования заказчика.  Опыт согласования требований... Постановка задач разработчикам, Разработка бизнес-требований, Анализ требований, Сбор требований, Написание инструкций, Описание бизнес-процессов, 1С, 1С: Предприятие, 1С: Управление предприятием, 1C: ERP, 1C: Зарплата и кадры, 1С: Производство, Консультирование пользователей, Администрирование баз данных, Моделирование бизнес-процессов, Системное мышление, Внутренний аудит информационных систем, Разработка регламентов и процедур, Разработка функциональных требований, Анализ бизнес-процессов, Документирование бизнес-требований, Разработка технических заданий"
